timestamp,latitude,longitude,altitude,roll,pitch,yaw,vel_x,vel_y,vel_z,battery,signal
1766341711.6105,33.68448728,73.04796899,0.00,-13.81,-5.15,26.57,4.09,1.80,-0.68,100.0,91.8
1766341711.7105,33.68453953,73.04787125,2.50,14.69,-2.35,242.56,-1.45,-2.22,-0.01,98.4,99.2
1766341711.8105,33.68445551,73.04785461,5.00,-14.99,14.35,307.74,4.09,-4.42,0.18,96.8,96.0
1766341711.9105,33.68452601,73.04788045,7.50,0.92,0.76,197.48,4.42,1.59,0.58,95.2,82.4
1766341712.0105,33.68460955,73.04781039,10.00,8.50,-10.67,359.11,-4.24,-1.75,-1.66,93.6,76.4
1766341712.1105,33.68454290,73.04787003,12.50,5.48,-1.00,71.82,1.23,1.88,-1.83,92.0,94.6
1766341712.2105,33.68451581,73.04792668,15.00,14.41,5.65,122.64,-2.36,-4.34,-0.21,90.4,91.9
1766341712.3105,33.68456910,73.04798395,17.50,3.65,9.06,168.73,1.35,0.54,0.51,88.8,70.6
1766341712.4105,33.68462706,73.04799990,20.00,1.65,-12.31,225.92,1.45,-2.31,1.29,87.2,71.5
1766341712.5105,33.68459504,73.04809730,22.50,8.24,7.31,47.45,-0.00,-3.99,1.28,85.6,99.2
1766341712.6105,33.68469026,73.04805622,23.14,-3.93,11.38,334.66,3.56,-0.86,-0.38,84.0,84.7
1766341712.7105,33.68476245,73.04795899,24.25,8.60,12.18,178.58,4.44,-1.61,1.32,82.4,72.6
1766341712.8105,33.68470843,73.04790171,24.15,8.33,5.89,278.74,0.28,3.77,-1.39,80.8,90.4
1766341712.9105,33.68475885,73.04784274,26.96,5.21,9.87,79.01,-1.40,0.22,1.20,79.2,73.9
1766341713.0105,33.68476802,73.04777223,23.02,6.06,-8.47,312.27,-3.47,-0.25,1.97,77.6,76.4
1766341713.1105,33.68476418,73.04773716,25.85,11.59,-14.92,249.40,-3.50,2.23,-1.93,76.0,74.9
1766341713.2105,33.68478991,73.04771140,25.42,-12.67,12.64,153.30,0.91,0.84,1.34,74.4,88.4
1766341713.3105,33.68480074,73.04765199,24.66,2.89,-6.00,77.55,-4.63,-3.45,-1.36,72.8,83.4
1766341713.4105,33.68483749,73.04762461,23.16,-2.16,-5.10,344.84,2.65,4.78,-0.42,71.2,70.8
1766341713.5105,33.68481246,73.04764079,23.86,-1.99,13.92,191.13,1.00,4.47,0.66,69.6,97.7
1766341713.6105,33.68472785,73.04765228,26.39,-10.15,-7.25,334.74,-3.43,2.14,-1.61,68.0,99.8
1766341713.7105,33.68469699,73.04763990,23.36,4.81,14.79,186.19,-3.85,4.89,-0.09,66.4,73.0
1766341713.8105,33.68477560,73.04771037,24.76,-3.96,-5.47,17.58,1.43,4.19,-1.84,64.8,83.6
1766341713.9105,33.68484713,73.04772129,25.40,14.70,11.94,260.66,-1.33,-3.25,1.35,63.2,70.2
1766341714.0115,33.68488074,73.04767914,25.73,4.81,12.64,87.97,-4.02,2.53,0.72,61.6,77.0
1766341714.1115,33.68494015,73.04771756,23.54,2.44,-14.87,113.37,0.84,-1.15,-0.72,60.0,99.6
1766341714.2115,33.68486705,73.04771120,23.13,9.75,13.23,40.42,0.83,-3.43,-1.15,58.4,73.0
1766341714.3115,33.68482793,73.04775382,24.99,-10.87,-14.69,161.84,-1.51,-4.29,-0.13,56.8,96.7
1766341714.4115,33.68477340,73.04782354,24.74,12.09,1.32,120.53,3.93,-2.72,0.15,55.2,93.7
1766341714.5115,33.68475099,73.04791513,23.62,6.50,-9.02,161.96,4.96,-0.47,0.58,53.6,89.7
1766341714.6115,33.68466301,73.04789038,25.14,6.27,6.18,59.59,-1.39,4.33,-1.95,52.0,83.8
1766341714.7115,33.68459915,73.04788645,23.04,-4.18,-7.66,133.60,-4.23,1.20,0.48,50.4,90.8
1766341714.8115,33.68456739,73.04793957,26.70,-14.30,2.35,37.58,-2.79,4.80,-1.16,48.8,78.6
1766341714.9115,33.68448651,73.04784182,25.29,6.90,-7.63,16.49,-0.87,-1.43,-1.91,47.2,74.4
1766341715.0115,33.68454483,73.04793978,23.03,1.75,13.48,181.72,3.55,3.18,1.91,45.6,90.4
1766341715.1115,33.68459154,73.04785365,26.96,-14.88,-4.23,25.75,1.29,0.07,-0.07,44.0,82.5
1766341715.2115,33.68452098,73.04794272,25.78,3.46,-13.50,254.30,-4.98,1.05,-0.36,42.4,95.5
1766341715.3115,33.68446209,73.04801603,26.60,-2.49,-12.97,268.86,4.91,4.07,1.56,40.8,97.4
1766341715.4115,33.68442470,73.04792286,25.46,-14.22,8.50,244.82,-2.42,4.62,0.13,39.2,84.8
1766341715.5115,33.68447922,73.04790528,24.10,9.01,8.47,298.88,-0.17,-1.27,-1.91,37.6,94.0
1766341715.6115,33.68446563,73.04793755,25.00,6.44,12.04,276.08,2.29,-2.62,-0.22,36.0,75.6
1766341715.7115,33.68449425,73.04785884,22.50,12.72,-2.50,191.42,-0.85,4.17,-0.98,34.4,73.1
1766341715.8115,33.68444151,73.04776929,20.00,-2.41,4.18,131.86,-4.74,2.10,-0.71,32.8,70.8
1766341715.9115,33.68448948,73.04781345,17.50,2.74,13.74,345.64,4.97,1.84,2.00,31.2,94.8
1766341716.0115,33.68452779,73.04782071,15.00,3.98,-1.57,199.00,-3.09,-0.61,-0.79,29.6,93.0
